0.00.417.483 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.419.116 W srv  llama_server: -----------------
0.00.419.123 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.419.123 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.419.123 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.419.124 W srv  llama_server: -----------------
0.00.420.891 I srv    load_model: loading model '/home/umang/llama.cpp/Qwen3-4B-Instruct-Q4_K_M.gguf'
0.00.749.368 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.839.854 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.02.839.956 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.02.860.009 I srv  llama_server: model loaded
0.02.860.017 I srv  llama_server: listening on http://127.0.0.1:8080
0.42.980.390 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.42.980.455 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.45.139.867 I slot print_timing: id  3 | task 0 | prompt eval time =     450.28 ms /     9 tokens (   50.03 ms per token,    19.99 tokens per second)
0.45.139.872 I slot print_timing: id  3 | task 0 |        eval time =    1709.07 ms /    12 tokens (  142.42 ms per token,     7.02 tokens per second)
0.45.139.873 I slot print_timing: id  3 | task 0 |       total time =    2159.35 ms /    21 tokens
0.45.139.877 I slot print_timing: id  3 | task 0 |    graphs reused =         11
0.45.139.916 I slot      release: id  3 | task 0 | stop processing: n_tokens = 20, truncated = 0
3.33.791.488 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
3.33.791.538 I slot launch_slot_: id  2 | task 13 | processing task, is_child = 0
3.39.282.629 I slot print_timing: id  2 | task 13 | prompt eval time =    1986.47 ms /   171 tokens (   11.62 ms per token,    86.08 tokens per second)
3.39.282.637 I slot print_timing: id  2 | task 13 |        eval time =    3504.60 ms /    24 tokens (  146.02 ms per token,     6.85 tokens per second)
3.39.282.638 I slot print_timing: id  2 | task 13 |       total time =    5491.07 ms /   195 tokens
3.39.282.638 I slot print_timing: id  2 | task 13 |    graphs reused =         33
3.39.282.680 I slot      release: id  2 | task 13 | stop processing: n_tokens = 194, truncated = 0
3.39.297.338 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
3.39.297.387 I slot launch_slot_: id  1 | task 38 | processing task, is_child = 0
3.50.304.159 W srv          stop: cancel task, id_task = 38
3.51.007.574 I slot      release: id  1 | task 38 | stop processing: n_tokens = 462, truncated = 0
4.05.737.676 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.006
4.05.737.739 I slot launch_slot_: id  1 | task 83 | processing task, is_child = 0
4.09.075.461 I slot print_timing: id  1 | task 83 | prompt eval time =     490.78 ms /    12 tokens (   40.90 ms per token,    24.45 tokens per second)
